lbp,fft_energy,high_freq_ratio,entropy,noise_std,edge_density,edge_strength,contrast,homogeneity,correlation,energy,dissimilarity,laplacian_variance,sharpness,histogram_skew,mean_r,mean_g,mean_b,std_r,std_g,std_b,color_corr_rg,color_corr_rb,color_corr_gb,label
5.065185546875,213519785.9610475,0.5200673778601058,7.072802576016047,109.64044939371988,0.027274576822916667,33.47337695264302,176.34685535509482,0.40936830022491955,0.9223207636130923,0.03487320540191115,5.21964195969101,1088.3924269415397,1088.3924271647136,-0.18204517497724623,81.82832234700521,94.90569580078125,124.73152425130208,35.383560459033404,32.92823104893855,42.06703941195462,0.816288326952874,0.4307145974060844,0.8551438091711748,Real
4.729125925925926,3238841.350406472,0.3649702192791868,7.930741719113209,117.81773033143271,0.1558320987654321,123.0370112532011,765.593514761421,0.14068225563440862,0.9151982586121071,0.01101313746054304,16.310423553536914,3000.0914836543207,3000.091496296296,0.013509376135736315,113.11243456790123,115.86674567901234,142.79117037037037,67.01171182286649,67.17790893012531,73.62473608119281,0.9180781571944994,0.8039872752659494,0.8817494843353718,AI
5.628544808403459,414385279.995107,0.21507888425482974,7.009983696220498,109.60093403178837,0.002736795893123802,14.320840246238594,18.853525667874933,0.5381495255793274,0.9984302872671859,0.06315045093032003,1.8744467242623069,35.775127370579995,35.77512866033032,0.40684533959044555,120.85339307573496,122.69366199665451,134.28059343976517,78.57262039038072,76.25064458438789,73.67019593394771,0.98286718027735,0.894716341853402,0.9560681425889651,Real
5.559312656889946,29184810.648833025,0.3028883992103609,7.766271437792971,102.61098785784044,0.019974567314044126,24.271668986952534,66.26479975113068,0.5387242647007108,0.9922142804446424,0.03293434925520129,2.9165162221505394,238.01460211104992,238.0146031510107,-0.03334818466974897,127.03571310609064,119.50859178887568,133.51096991015987,52.335796839920846,68.91626372563356,72.22224394441493,0.9085526582418323,0.71730060478395,0.8089689591859797,AI
5.043193319138346,125029065.63455872,0.40247627450450413,7.4996478519800815,119.73561933077896,0.041765674668120895,48.82780438956867,200.5855846190118,0.302019925945176,0.9673926269443907,0.025174017713680018,7.0836288080446455,832.417998481486,832.4179995099706,-0.7619260352700518,136.56176459428852,144.9977582123319,154.9337759459913,57.11640153642189,56.64082974243719,59.46346606866824,0.89992372684741,0.73631872293941,0.8894058215622621,Real
5.535379409790039,69242305.08917964,0.29940165683386855,7.113296819450022,115.09917529439564,0.016572952270507812,24.407456262711207,56.537366534626585,0.47175515909271326,0.9884628899083853,0.046059120337642236,3.1123950485214915,203.82108766983447,203.82108783721924,1.508558696054485,51.301639556884766,57.63698673248291,65.21178531646729,43.65540978445779,48.6869588788928,55.33712388731729,0.9883476775498339,0.9305138544253039,0.9500281729970614,AI
4.8696695760598505,50562026.33024368,0.09313394513487715,7.229353993753168,114.30260935926759,0.04050394846217789,44.84274495560471,103.01682445200885,0.39594995757104234,0.9659570528882675,0.02918750747195328,4.658713925941155,106.48399857974903,106.48400041562759,0.4259966609788862,95.59525976724855,63.30530548628429,106.04350581878637,53.69399381412605,45.92082083850317,70.08344659851824,0.22898242866737134,0.3196758092421357,0.13674388964360099,AI
5.107103879622915,81682175.07129045,0.3549579832779953,7.6949396611521745,122.70221161603253,0.03340736040609137,42.33760531088504,176.6764061901001,0.2526509457111246,0.9800517506770747,0.019196699807235557,6.077417131290225,599.3646129439778,599.3646129441624,-0.050761596505387356,107.07843817984046,125.04062364031907,128.35759880348078,71.88801355852746,70.96318109084478,64.11116531846042,0.8759239026401617,0.7933312416998822,0.8834495354647869,AI
4.76095,17221250.7843895,0.33325998442447535,7.617424139539064,121.66797941418812,0.06900384615384615,68.28201979323262,331.02391892511883,0.23804972344976028,0.9368251980260942,0.01642569420050796,8.34588438527814,1144.945084070059,1144.9450846153845,0.363946394961298,85.35212307692308,94.34247307692307,103.23116538461538,46.28508558704669,49.02489015285271,59.84986296709742,0.9626701716726263,0.8640743971024208,0.9607019595870312,AI
5.14804744720459,218383874.37230447,0.33636005914606604,7.468387677507278,118.80460756902966,0.0045159657796223955,19.59296841596539,25.936501558251333,0.4058779023532969,0.9953155052172319,0.029430742357093947,2.7032487370013416,98.10113811124246,98.1011381149292,0.6524526834212203,97.78216330210368,91.20242214202881,97.55142021179199,51.66423544130926,49.1758178438159,69.57876634951155,0.8488388663917453,0.4888807916961725,0.8417359982310559,Real
5.129225925925926,45892239.05430582,0.15716090832720567,7.35644935895666,118.58425326951092,0.028617283950617283,41.62251604549813,72.98216289669983,0.37534687724121885,0.9788941037710573,0.03585554015332716,4.638977771137481,97.80593077045575,97.80593086419753,-0.11399095690750632,141.30184197530863,112.7742913580247,160.53890987654322,39.34871441343214,42.285547585685634,48.57524896433814,0.7976644796349647,0.6333997140927539,0.8195175709739378,AI
